open_time,open,high,low,close,volume,quote_av,trades,tb_base_av,tb_quote_av,symbol
2024-01-14 13:46:00,42603.9,42619.8,42586.1,42590.1,73.148,3116519.6634,1417,41.095,1750966.6792,BTCUSDT
2024-01-14 13:47:00,42590.1,42603.5,42575.7,42586.8,69.578,2963122.9102,1709,25.172,1072050.2973,BTCUSDT
2024-01-14 13:48:00,42586.8,42594.1,42582.6,42592.7,23.959,1020428.1876,753,9.948,423697.2068,BTCUSDT
2024-01-14 13:49:00,42592.7,42614.8,42590.0,42614.8,28.602,1218544.5884,839,21.94,934711.226,BTCUSDT
2024-01-14 13:50:00,42614.7,42620.7,42609.2,42609.3,66.281,2824655.8024,1072,44.43,1893440.0408,BTCUSDT
2024-01-14 13:51:00,42609.2,42609.7,42594.9,42599.0,68.586,2921722.545,853,46.262,1970719.6666,BTCUSDT
2024-01-14 13:52:00,42599.0,42601.6,42590.0,42600.0,57.873,2465161.9909,921,36.711,1563735.7235,BTCUSDT
2024-01-14 13:53:00,42599.9,42602.1,42581.4,42602.0,45.942,1956885.085,776,26.805,1141723.7989,BTCUSDT
2024-01-14 13:54:00,42602.0,42613.0,42602.0,42607.7,38.117,1624025.9294,923,21.191,902859.3119,BTCUSDT
2024-01-14 13:55:00,42607.7,42611.3,42591.9,42595.4,32.975,1404717.7126,611,14.444,615261.6268,BTCUSDT
2024-01-14 13:56:00,42595.4,42605.0,42585.6,42601.7,44.162,1880964.1728,855,18.403,783834.8469,BTCUSDT
2024-01-14 13:57:00,42601.6,42603.9,42593.3,42595.3,23.698,1009471.1295,800,8.881,378296.9289,BTCUSDT
2024-01-14 13:58:00,42595.3,42602.6,42585.6,42585.6,24.535,1045108.3365,691,9.935,423194.6248,BTCUSDT
2024-01-14 13:59:00,42585.7,42597.7,42585.6,42588.1,42.229,1798542.7398,809,25.774,1097714.523,BTCUSDT
2024-01-14 14:00:00,42588.1,42599.5,42584.7,42599.4,53.783,2290704.975,1327,25.903,1103274.3404,BTCUSDT
2024-01-14 14:01:00,42599.4,42617.9,42599.4,42611.8,42.174,1797012.6992,723,26.711,1138082.1518,BTCUSDT
2024-01-14 14:02:00,42611.8,42633.2,42611.8,42633.1,49.672,2117211.417,1016,37.435,1595619.8569,BTCUSDT
2024-01-14 14:03:00,42633.1,42633.3,42621.6,42627.6,66.962,2854414.8028,1341,33.314,1420076.8393,BTCUSDT
2024-01-14 14:04:00,42627.6,42639.2,42627.6,42639.0,50.745,2163385.4658,769,41.803,1782164.7633,BTCUSDT
2024-01-14 14:05:00,42639.0,42639.1,42623.0,42623.0,45.199,1926813.6591,819,25.321,1079437.4301,BTCUSDT
2024-01-14 14:06:00,42623.0,42640.2,42623.0,42636.3,67.413,2874046.541,1181,49.065,2091813.8646,BTCUSDT
2024-01-14 14:07:00,42636.3,42674.0,42636.2,42673.7,103.997,4435869.7251,1532,95.306,4065215.5213,BTCUSDT
2024-01-14 14:08:00,42673.7,42679.8,42669.3,42679.7,82.744,3531060.6954,1293,62.861,2682581.5938,BTCUSDT
2024-01-14 14:09:00,42679.7,42687.5,42675.8,42686.8,94.679,4041271.10148,1540,57.3,2445725.43828,BTCUSDT
2024-01-14 14:10:00,42686.8,42699.0,42686.8,42699.0,116.542,4975600.7536,1719,86.234,3681628.2907,BTCUSDT
2024-01-14 14:11:00,42699.1,42721.1,42697.9,42697.9,130.882,5590142.6827,2460,67.491,2882735.0051,BTCUSDT
2024-01-14 14:12:00,42697.9,42698.0,42678.1,42694.3,79.033,3373808.3172,1424,36.012,1537229.9114,BTCUSDT
2024-01-14 14:13:00,42694.4,42700.0,42694.3,42694.9,44.103,1883047.9856,1217,22.915,978396.6437,BTCUSDT
2024-01-14 14:14:00,42694.9,42695.0,42678.4,42683.7,38.645,1649551.2542,1222,14.5,618895.6152,BTCUSDT
2024-01-14 14:15:00,42683.7,42685.1,42680.0,42680.9,32.139,1371774.1803,913,15.467,660177.6303,BTCUSDT
